"month","total_transactions","total_amount"
"2024-01-01 00:00:00",2174,43054907.39
"2024-02-01 00:00:00",1980,36550356.36
"2024-03-01 00:00:00",2083,34387068.60
"2024-04-01 00:00:00",2076,40891981.81
"2024-05-01 00:00:00",2116,37482636.50
"2024-06-01 00:00:00",2040,37673898.00
"2024-07-01 00:00:00",2134,35341536.87
"2024-08-01 00:00:00",2158,35416419.29
"2024-09-01 00:00:00",2035,40949174.11
"2024-10-01 00:00:00",2207,41865977.76
"2024-11-01 00:00:00",2063,38176012.43
"2024-12-01 00:00:00",2110,40677962.67
"2025-01-01 00:00:00",2210,45373417.32
"2025-02-01 00:00:00",1938,41906373.11
"2025-03-01 00:00:00",2156,37224689.97
"2025-04-01 00:00:00",2021,36794036.69
"2025-05-01 00:00:00",2038,37680982.89
"2025-06-01 00:00:00",2125,38470832.28
"2025-07-01 00:00:00",2071,36299940.99
"2025-08-01 00:00:00",2102,40348608.07
"2025-09-01 00:00:00",2056,34896442.01
"2025-10-01 00:00:00",2029,35205020.11
"2025-11-01 00:00:00",1978,33159956.66
"2025-12-01 00:00:00",2100,36770122.63
